reg,ann_flow_mgy
110050813978,417.49552974399995
110050813978,417.49552974399995
110035879608,3313.701793
110035879608,3313.701793
110000511134,16.460919999999998
110000511134,16.460919999999998
110002077127,10.043028
110002077127,10.043028
110000315891,64.86601999999999
110000315891,64.86601999999999
110000317443,0.9927915984
110000748273,32.392693
110000748273,32.392693
110064613976,4.0240213744
110064613976,4.0240213744
110000581683,2574.869954
110043782127,93.352
110030737610,0
110000316006,18011.7949718036
110032958100,1058.35
110032958100,1058.35
110017301070,1351072.053718
110000610651,29869.69685190089
110000316989,66323.344952
110011370729,16124.431168000001
110011370729,16124.431168000001
110002395505,46941.485814
110000316266,47922.07548766
110006873954,1829.619936
110006873954,1829.619936
110000315123,0.002604
110000315123,0.002604
110006780910,7.7137654
110006780910,7.7137654
110010115008,0.5205679999999999
110010115008,0.5205679999999999
110030384377,494.33
110030384377,494.33
110000317434,35.108143
110000317434,35.108143
110011371489,0
110024519001,1027.2
110024519001,1027.2
110000316649,4.50329937
110000845140,0.08291227679999999
110002497799,58.684535
110002497799,58.684535
110009068301,4.2264
110009068301,4.2264
110001729363,32.916684
110001729363,32.916684
110002056845,6.812149090909091
110012624712,253.49
110030378446,0
110030378446,0
110013835092,NA
110013835092,NA
110000863655,NA
110000863655,NA
110031017860,NA
110031017860,NA
110040594602,21.944986999999998
110002497799,31.6224
110002497799,31.6224
110008053747,NA
110008053747,NA
110001730609,NA
110001730609,NA
110044201869,NA
110044201869,NA
110062664576,NA
110062664576,NA
110003004310,165.07006199999998
110006615528,626.3
110006615528,626.3
110006617973,1213.1
110006617973,1213.1
110039877194,7906.11
110039877194,7906.11
110006780901,105.6632
110006780901,105.6632
110055979080,210.192
110055979080,210.192
110000730987,917.42
110000730987,917.42
110000723432,3123.5
110000723432,3123.5
110000730996,517.33
110000730996,517.33
110000523504,2260.6
110000523504,2260.6
110030348808,317.01
110030348808,317.01
110000736393,1523.87
110000736393,1523.87
110000731003,1231.2
110000731003,1231.2
110000515808,864.06
110000515808,864.06
110055973371,2686.59
110055973371,2686.59
110006366832,916.33
110006366832,916.33
110010052904,21348.65
110010052904,21348.65
110033642529,99.687
110033642529,99.687
110013718183,2368.17
110013718183,2368.17
110001404178,7914.26
110001404178,7914.26
110000754103,4115.7
110000754103,4115.7
110006618053,0
110006618053,0
110010052824,15.872
110010052824,15.872
110001730770,9603.2
110001730770,9603.2
110002051993,3015.39
110002051993,3015.39
110002057023,2174.3
110002057023,2174.3
110000731021,204.94
110000731021,204.94
110001735221,1052.66
110001735221,1052.66
110033215660,1416.5
110033215660,1416.5
110010052833,124.74
110010052833,124.74
110030325084,220.989
110030325084,220.989
110055972452,829.46
110055972452,829.46
110006366841,407.932
110006366841,407.932
110000523176,2118.47
110000523176,2118.47
110006795520,105.98
110006795520,105.98
110002043048,455.96
110002043048,455.96
110000516923,882.967
110000516923,882.967
110009129353,1656
110009129353,1656
110010052851,286.03
110010052851,286.03
110000759493,469.11
110000759493,469.11
110030348318,1927.04
110030348318,1927.04
110055974913,1274.66
110055974913,1274.66
110000731030,1872.67
110000731030,1872.67
110002057513,7689.62
110002057513,7689.62
110001404365,1696.9
110001404365,1696.9
110006618295,676.12
110006618295,676.12
110006780894,119.47
110006780894,119.47
110000731049,780.7
110000731049,780.7
110000731058,644.7
110000731058,644.7
110055974352,333.516
110055974352,333.516
110006823900,157.7685
110006823900,157.7685
110001123551,276.17
110001123551,276.17
110006618259,674.02
110006618259,674.02
110000915591,465.526
110000915591,465.526
110006618222,427.5
110006618222,427.5
110006780876,55.212
110006780876,55.212
110006823919,2.53
110006823919,2.53
110000731067,684.55
110000731067,684.55
110055976662,654.53
110055976662,654.53
110000759518,2010.29
110000759518,2010.29
110001405257,2833.93
110001405257,2833.93
110000528634,2756.5
110000528634,2756.5
110010052799,12.899
110010052799,12.899
110010052806,132.3506
110010052806,132.3506
110001404221,2125.4
110001404221,2125.4
110055974076,5514.5
110055974076,5514.5
110011368233,270.747
110011368233,270.747
110006618213,131.7
110006618213,131.7
110013406019,523
110013406019,523
110001734053,300.91
110001734053,300.91
110006618311,502.8
110006618311,502.8
110000731094,102.796
110000731094,102.796
110007078535,4128.4
110007078535,4128.4
110001123560,895.894
110001123560,895.894
110039820227,282.418
110039820227,282.418
110009129344,42.94
110009129344,42.94
110006368055,188.948
110006368055,188.948
110039880732,237.1
110039880732,237.1
110009068203,0
110009068203,0
110009068212,0.9498589
110009068212,0.9498589
110009068230,11.533
110009068230,11.533
110000914422,446.9
110000914422,446.9
110010052753,14.4642
110010052753,14.4642
110006618071,2384.5
110006618071,2384.5
110006780849,42.526
110006780849,42.526
110006780858,55.017
110006780858,55.017
110009068249,2.679
110009068249,2.679
110009693368,15.2042
110009693368,15.2042
110002351776,155.704
110002351776,155.704
110011490181,15.30574
110011490181,15.30574
110056255387,21.277740776555024
110056255387,21.277740776555024
110063898661,310.7277
110063898661,310.7277
110013406661,0.1488
110002045536,970.2
110002045536,970.2
110000308435,448.42041466666666
110000308435,448.42041466666666
110008403478,104.961
110008403478,104.961
110064621805,334.6623471818182
110011137402,240.559094
110011137402,240.559094
110000311172,216.43200000000002
110000311172,216.43200000000002
110008406206,8.500779
110008406206,8.500779
110022354959,1.9994574342105262
110037130663,2793.196
110000732501,93.012
110000732501,93.012
110000310761,9389.943
110050299595,102.63775709090909
110000310191,2019.8936
110000308881,702.7
110000308881,702.7
110002045493,169.526088
110002045493,169.526088
110024377618,0
110024377618,0
110006744862,164.091564
110006744862,164.091564
110064623518,0.962634
110001939813,9.0848
