"Nutrient Modeling (Hypoxia Task Force Search)"
"Search Criteria: Year = 2020; EPA Region = 02; Include all nitrogen loads; Include all phosphorus loads"

"Year","NPDES Permit Number","FRS ID","SIC Code","NAICS Code","Facility Name","City","State","ZIP Code","County","FIPS Code","EPA Region","Facility Type Indicator","Permit Type","Major/Non-Major Status","HUC 12 Code","Total Facility Design Flow (MGD)","Actual Average Facility Flow (MGD)","Facility Latitude","Facility Longitude","Nutrient Type","Total Pounds (lb/yr)","Total Annual Flow (MGal/yr)","Max Allowable Load (kg/yr)","Load Over Limit","Avg Concentration","Data Source for Concentration","Data Source for Flow","Discharges to Impaired Water Bodies","Discharges Pollutants Contributing to Water Body Impairment"
2020,"NJ0002496","110000320732","3462","","MCWILLIAMS FORGE CO","ROCKAWAY","NJ","07866","MORRIS","34027","02","NON-POTW","NPDES Individual Permit","Non-Major","020301030403",,.785,"40.888988","-74.516768","Phosphorus",200.433003915107938948012375298446574792,18.806,16.70275032625899491233436460820388123267,,1.00187681384364720705933119118901542512,"Modeled","DMR Data","Y",""
2020,"NJ0002551","110000734340","2833","","CHEMTRADE SOLUTIONS LLC (F.K.A. REHEIS INC.)	","BERKELEY HEIGHTS","NJ","07922","UNION","34039","02","NON-POTW","NPDES Individual Permit","Major","020301030604",,.99,"40.683605","-74.432843","Nitrogen",7460.832938144147224399686304089488236792,25.363,621.736078178678935366640525340790686399,,37.0883324587029763829693564492698631712,"Modeled","DMR Data","Y","Y"
2020,"NJ0002551","110000734340","2833","","CHEMTRADE SOLUTIONS LLC (F.K.A. REHEIS INC.)	","BERKELEY HEIGHTS","NJ","07922","UNION","34039","02","NON-POTW","NPDES Individual Permit","Major","020301030604",,.99,"40.683605","-74.432843","Phosphorus",7.361172,25.363,,0,.0317977256362530516633970380935973340099,"DMR Data","DMR Data","Y","Y"
2020,"NJ0003182","110000320395","2869","","STEPAN CO/MAYWOOD INTERIM STORAGE SITE","MAYWOOD","NJ","07607","BERGEN","34003","02","NON-POTW","NPDES Individual Permit","Non-Major","020301030703",,1.47,"40.8965","-74.06802","Nitrogen",3537.712963489905759231887760403584467108,232.8112,294.809413624158813269323980033632038926,,1.8005546676661175218287090633645155925,"Modeled","DMR Data","Y","Y"
2020,"NJ0003182","110000320395","2869","","STEPAN CO/MAYWOOD INTERIM STORAGE SITE","MAYWOOD","NJ","07607","BERGEN","34003","02","NON-POTW","NPDES Individual Permit","Non-Major","020301030703",,1.47,"40.8965","-74.06802","Phosphorus",746.51168031181131745936343629213483146,232.8112,62.209306692650943121613619691011235955,,.3870604147548570823032890501742228226486,"Modeled","DMR Data","Y","Y"
2020,"NJ0003743","110054992282","2033","","B&G FOODS NORTH AMERICA, INC","ROSELAND","NJ","07068","ESSEX","34013","02","NON-POTW","NPDES Individual Permit","Non-Major","020301030606",,.86,"40.81837","-74.31758","Nitrogen",316.0752689320222341962365533988875,5.061139999999999746943,26.339605744335186183019712783240625,,7.635,"Modeled","DMR Data","Y","Y"
2020,"NJ0004006","110000322311","2819","","AVANTOR PERFORMANCE MATERIALS","PHILLIPSBURG","NJ","08865","WARREN","34041","02","NON-POTW","NPDES Individual Permit","Major","020401050603",,2.75,"40.703099","-75.197676","Nitrogen",32993.415,750.86,,0,15.33291074532781506121831065979705818324,"DMR Data","DMR Data","Y",""
2020,"NJ0004006","110000322311","2819","","AVANTOR PERFORMANCE MATERIALS","PHILLIPSBURG","NJ","08865","WARREN","34041","02","NON-POTW","NPDES Individual Permit","Major","020401050603",,2.75,"40.703099","-75.197676","Phosphorus",6290.865,750.86,,0,2.90325633849609956225509246032710919019,"DMR Data","DMR Data","Y",""
2020,"NJ0004090","110009834581","2087","","MAFCO WORLDWIDE CORP","CAMDEN","NJ","08104","CAMDEN","34007","02","NON-POTW","NPDES Individual Permit","Non-Major","020402020405",,.18,"39.919559","-75.125825","Phosphorus",80.039816698149,16.560337,6.66998472484575,,.4925,"Modeled","DMR Data","Y","Y"
2020,"NJ0004171","110004150301","3229","327212","NIPRO GLASS AMERICAS","MILLVILLE","NJ","08332","CUMBERLAND","34011","02","NON-POTW","NPDES Individual Permit","Non-Major","020402060505",,.0845,"39.412481","-75.03134","Phosphorus",61.155891135864,85.03814228,,0,.1330416666666666666666666666666666666667,"DMR Data","DMR Data","Y","Y"
