"Nutrient Modeling (Hypoxia Task Force Search)"
"Search Criteria: Year = 2020; EPA Region = 03; Include all nitrogen loads; Include all phosphorus loads"

"Year","NPDES Permit Number","FRS ID","SIC Code","NAICS Code","Facility Name","City","State","ZIP Code","County","FIPS Code","EPA Region","Facility Type Indicator","Permit Type","Major/Non-Major Status","HUC 12 Code","Total Facility Design Flow (MGD)","Actual Average Facility Flow (MGD)","Facility Latitude","Facility Longitude","Nutrient Type","Total Pounds (lb/yr)","Total Annual Flow (MGal/yr)","Max Allowable Load (kg/yr)","Load Over Limit","Avg Concentration","Data Source for Concentration","Data Source for Flow","Discharges to Impaired Water Bodies","Discharges Pollutants Contributing to Water Body Impairment"
2020,"DC0000141","110064120838","8744","","WASHINGTON NAVY YARD","WASHINGTON NAVY YARD","DC","20374","DISTRICT OF COLUMBIA","11001","03","FEDERAL","NPDES Individual Permit","Non-Major","020700100204",,5000,"38.875","-76.9875","Nitrogen",3801.803776559999720757512611668,647.575613856,,0,.7914805486686495680280824455136373642333,"DMR Data","DMR Data","",""
2020,"DC0000141","110064120838","8744","","WASHINGTON NAVY YARD","WASHINGTON NAVY YARD","DC","20374","DISTRICT OF COLUMBIA","11001","03","FEDERAL","NPDES Individual Permit","Non-Major","020700100204",,5000,"38.875","-76.9875","Phosphorus",354.6857803499999739483294332925,647.575613856,,0,.1192618810244553355795910420458522816927,"DMR Data","DMR Data","",""
2020,"DC0000175","110002007916","3273","","FORT TOTTEN READY MIX CONCRETE","WASHINGTON","DC","20011-7560","DISTRICT OF COLUMBIA","11001","03","NON-POTW","NPDES Individual Permit","Non-Major","020700100102",,.008,"38.951278","-77.007704","Nitrogen",15989811.6538125,14690.410277300000010196007,,0,17.85,"DMR Data","DMR Data","Y","Y"
2020,"DC0000175","110002007916","3273","","FORT TOTTEN READY MIX CONCRETE","WASHINGTON","DC","20011-7560","DISTRICT OF COLUMBIA","11001","03","NON-POTW","NPDES Individual Permit","Non-Major","020700100102",,.008,"38.951278","-77.007704","Phosphorus",1522389.3597675,14690.410277300000010196007,,0,1.2,"DMR Data","DMR Data","Y","Y"
2020,"DC0000221","110039828504","4952","","DISTRICT DEPARTMENT OF ENERGY AND ENVIRONMENT NATURAL RESOURCES ADMINISTRATION","WASHINGTON","DC","20001","DISTRICT OF COLUMBIA","11001","03","POTW","NPDES Individual Permit","Major","020700100204",4453,,"38.90724","-77.011078","Nitrogen",0,,,0,4.05222222222222222222222222222222222222,"DMR Data","DMR Data","Y","Y"
2020,"DC0000221","110039828504","4952","","DISTRICT DEPARTMENT OF ENERGY AND ENVIRONMENT NATURAL RESOURCES ADMINISTRATION","WASHINGTON","DC","20001","DISTRICT OF COLUMBIA","11001","03","POTW","NPDES Individual Permit","Major","020700100204",4453,,"38.90724","-77.011078","Phosphorus",0,,,0,.2956666666666666666666666666666666666696,"DMR Data","DMR Data","Y","Y"
2020,"DC0000337","110009068187","4111","","WMATA-MISSISSIPPI AVE DPS","WASHINGTON","DC","20032","DISTRICT OF COLUMBIA","11001","03","NON-POTW","NPDES Individual Permit","Non-Major","020700100301",,.0072,"38.840426","-76.985672","Nitrogen",19.08705302481600132548979339,1.590883200000000110478,,0,11.53870967741935483870967741935483870968,"DMR Data","DMR Data","",""
2020,"DC0000337","110009068187","4111","","WMATA-MISSISSIPPI AVE DPS","WASHINGTON","DC","20032","DISTRICT OF COLUMBIA","11001","03","NON-POTW","NPDES Individual Permit","Non-Major","020700100301",,.0072,"38.840426","-76.985672","Phosphorus",0,1.590883200000000110478,,0,0,"DMR Data","DMR Data","",""
2020,"DC0000370","110070254852","","","LINCOLN MEMORIAL REFLECTING POOL","WASHINGTON","DC","20024","","","03","NON-POTW","NPDES Individual Permit","Non-Major","020700100204",,,"38.85241","-77.00171","Nitrogen",0,0,,0,0,"DMR Data","DMR Data","Y",""
2020,"DC0000370","110070254852","","","LINCOLN MEMORIAL REFLECTING POOL","WASHINGTON","DC","20024","","","03","NON-POTW","NPDES Individual Permit","Non-Major","020700100204",,,"38.85241","-77.00171","Phosphorus",0,0,,0,0,"DMR Data","DMR Data","Y",""
