"Nutrient Modeling (Hypoxia Task Force Search)"
"Search Criteria: Year = 2020; EPA Region = 01; Include all nitrogen loads; Include all phosphorus loads"

"Year","NPDES Permit Number","FRS ID","SIC Code","NAICS Code","Facility Name","City","State","ZIP Code","County","FIPS Code","EPA Region","Facility Type Indicator","Permit Type","Major/Non-Major Status","HUC 12 Code","Total Facility Design Flow (MGD)","Actual Average Facility Flow (MGD)","Facility Latitude","Facility Longitude","Nutrient Type","Total Pounds (lb/yr)","Total Annual Flow (MGal/yr)","Max Allowable Load (kg/yr)","Load Over Limit","Avg Concentration","Data Source for Concentration","Data Source for Flow","Discharges to Impaired Water Bodies","Discharges Pollutants Contributing to Water Body Impairment"
2020,"CT0000086","110050813978","2821","","ALLNEX USA RESINS AND ADDITIVES MANUFACTURING FACILITY","WALLINGFORD","CT","06492","NEW HAVEN","09009","01","NON-POTW","NPDES Individual Permit","Major","011000040105",,,"41.435","-72.836389","Nitrogen",56873.9999999999958226047,417.4955297439999791252235128,28226.666666666664593418,0,0,"DMR Data","DMR Data","Y","Y"
2020,"CT0000086","110050813978","2821","","ALLNEX USA RESINS AND ADDITIVES MANUFACTURING FACILITY","WALLINGFORD","CT","06492","NEW HAVEN","09009","01","NON-POTW","NPDES Individual Permit","Major","011000040105",,,"41.435","-72.836389","Phosphorus",342.1099999999999748720205,417.4955297439999791252235128,342.39999999999997485072,0,.033886122019836729157349606243167688439,"DMR Data","DMR Data","Y","Y"
2020,"CT0000434","110035879608","2621","","AHLSTROM NONWOVENS","WINDSOR LOCKS","CT","06096","HARTFORD","09003","01","NON-POTW","NPDES Individual Permit","Major","010802050105",,,"41.925376","-72.625924","Nitrogen",20472.509365955325,3313.70179299999999238111035,,0,1.5575,"DMR Data","DMR Data","Y",""
2020,"CT0000434","110035879608","2621","","AHLSTROM NONWOVENS","WINDSOR LOCKS","CT","06096","HARTFORD","09003","01","NON-POTW","NPDES Individual Permit","Major","010802050105",,,"41.925376","-72.625924","Phosphorus",3236.034145483125,3313.70179299999999238111035,,0,.25,"DMR Data","DMR Data","Y",""
2020,"CT0000841","110000511134","2869","","KING INDUSTRIES, INC.","NORWALK","CT","06852","FAIRFIELD COUNTY","09001","01","NON-POTW","NPDES Individual Permit","Non-Major","011000060202",,,"41.108491","-73.41271","Nitrogen",36.54831305770312317258434711484375,16.460919999999999176954,,0,.64725,"DMR Data","DMR Data","Y","Y"
2020,"CT0000841","110000511134","2869","","KING INDUSTRIES, INC.","NORWALK","CT","06852","FAIRFIELD COUNTY","09001","01","NON-POTW","NPDES Individual Permit","Non-Major","011000060202",,,"41.108491","-73.41271","Phosphorus",4.30381245765712478480937711714375,16.460919999999999176954,,0,.10375,"DMR Data","DMR Data","Y","Y"
2020,"CT0000892","110002077127","1429","","TILCON CONNECTICUT, INC.","NORTH BRANFORD","CT","06471-1023","NEW HAVEN","09009","01","NON-POTW","NPDES Individual Permit","Non-Major","011000040206",,,"41.33273","-72.79398","Nitrogen",65.444812991433792,10.043028,,0,.28,"DMR Data","DMR Data","Y",""
2020,"CT0000892","110002077127","1429","","TILCON CONNECTICUT, INC.","NORTH BRANFORD","CT","06471-1023","NEW HAVEN","09009","01","NON-POTW","NPDES Individual Permit","Non-Major","011000040206",,,"41.33273","-72.79398","Phosphorus",36.959280433535376,10.043028,,0,.2915,"DMR Data","DMR Data","Y",""
2020,"CT0000957","110000315891","2834","","PFIZER GROTON CAMPUS","GROTON","CT","06340","NEW LONDON","09011","01","NON-POTW","NPDES Individual Permit","Non-Major","011000030203",,,"41.3309","-72.0771","Nitrogen",363.4285714285714018776,64.866019999999996756699,17259.28571428571301801975,0,.3920369479598420799095080194776564853433,"DMR Data","DMR Data","Y",""
2020,"CT0000957","110000315891","2834","","PFIZER GROTON CAMPUS","GROTON","CT","06340","NEW LONDON","09011","01","NON-POTW","NPDES Individual Permit","Non-Major","011000030203",,,"41.3309","-72.0771","Phosphorus",252.005377252190913610492391748303197933,64.866019999999996756699,21.00044810434924280087436597902526649442,,.4650944854995113466306337311568278002867,"Modeled","DMR Data","Y",""
2020,"CT0001180","110000317443","3471","","SUMMIT CORP OF AMERICA","THOMASTON","CT","06787","LITCHFIELD","09005","01","NON-POTW","NPDES Individual Permit","Major","011000051105",,,"41.623153","-73.064553","Nitrogen",173.14270344,.99279159839999995036042008,39.0597228,0,21.33858224012713975126057716654565150792,"DMR Data","DMR Data","Y",""
2020,"CT0001341","110000748273","2869","","PHARMACIA & UPJOHN (FORMER)","NORTH HAVEN","CT","06473","NEW HAVEN","09009","01","NON-POTW","NPDES Individual Permit","Non-Major","011000040105",,,"41.375384","-72.878626","Nitrogen",1032.13499999999992418968425,32.39269299999999838036535,2281.2499999999998324421875,0,3.80982635313873326117853796678136813128,"DMR Data","DMR Data","",""
2020,"CT0001341","110000748273","2869","","PHARMACIA & UPJOHN (FORMER)","NORTH HAVEN","CT","06473","NEW HAVEN","09009","01","NON-POTW","NPDES Individual Permit","Non-Major","011000040105",,,"41.375384","-72.878626","Phosphorus",30.84902125366162345754893731691875,32.39269299999999838036535,,0,.1140833333333333333333333333333333333333,"DMR Data","DMR Data","",""
2020,"CT0001376","110064613976","3724","","UNITED TECHNOLOGIES CORPORATION, PRATT AND WHITNEY DIVISION","EAST HARTFORD","CT","06118","HARTFORD COUNTY","09003","01","NON-POTW","NPDES Individual Permit","Major","010802050505",,,"41.740541","-72.640907","Nitrogen",0,4.02402137439999979879893128,,0,2.555625,"DMR Data","DMR Data","Y",""
2020,"CT0001376","110064613976","3724","","UNITED TECHNOLOGIES CORPORATION, PRATT AND WHITNEY DIVISION","EAST HARTFORD","CT","06118","HARTFORD COUNTY","09003","01","NON-POTW","NPDES Individual Permit","Major","010802050505",,,"41.740541","-72.640907","Phosphorus",0,4.02402137439999979879893128,,0,.0825,"DMR Data","DMR Data","Y",""
2020,"CT0001406","110000581683","3724","","PRATT & WHITNEY MIDDLETOWN","MIDDLETOWN","CT","06457-5725","MIDDLESEX","09007","01","NON-POTW","NPDES Individual Permit","Non-Major","010802050702",,,"41.536812","-72.561543","Nitrogen",39646.2703892241400176864805387929,2574.8699539999998712565023,3303.855865768678334807206711566075,,1.78083333333333333333333333333333333333,"Modeled","DMR Data","Y",""
2020,"CT0002127","110043782127","2679","","CELLU TISSUE","EAST HARTFORD","CT","06108","HARTFORD","09003","01","NON-POTW","NPDES Individual Permit","Major","010802050402",,,"41.776151","-72.606406","Nitrogen",1499.47837683525,93.352,,0,.6395833333333333333333333333333333333333,"DMR Data","DMR Data","Y",""
2020,"CT0003107","110030737610","4911","","NRG DEVON STATION POWER PLANT","MILFORD","CT","06461-4075","NEW HAVEN","09009","01","NON-POTW","NPDES Individual Permit","Major","011000051302",,,"41.209171","-73.108209","Nitrogen",0,0,,0,0,"DMR Data","DMR Data","",""
2020,"CT0003115","110000316006","4911","","NRG MONTVILLE POWER STATION","MONTVILLE (UNCASVILLE)","CT","06382-2615","NEW LONDON","09011","01","NON-POTW","NPDES Individual Permit","Major","011000030203",,,"41.427387","-72.102263","Nitrogen",3.593563275648080520321836217595965,18011.79497180359999994751719732,,0,.14060606060606060606060606060606060606,"DMR Data","DMR Data","Y",""
2020,"CT0003212","110032958100","2676","","KIMBERLY-CLARK TISSUE MILL","NEW MILFORD","CT","06776-4493","LITCHFIELD","09005","01","NON-POTW","NPDES Individual Permit","Major","011000050604",,,"41.5567","-73.4102","Nitrogen",12931.317756,1058.3499999999999470825,,0,1.43970519182617428073028472439400257626,"DMR Data","DMR Data","Y",""
2020,"CT0003212","110032958100","2676","","KIMBERLY-CLARK TISSUE MILL","NEW MILFORD","CT","06776-4493","LITCHFIELD","09005","01","NON-POTW","NPDES Individual Permit","Major","011000050604",,,"41.5567","-73.4102","Phosphorus",2135.44422977602489322778851119875,1058.3499999999999470825,272.34804981562498638259750921875,0,.1213375,"DMR Data","DMR Data","Y",""
2020,"CT0003263","110017301070","4911","","DOMINION MILLSTONE NUCLEAR POWER STATION","WATERFORD","CT","06385","NEW LONDON","09011","01","NON-POTW","NPDES Individual Permit","Major","011000030305",,,"41.307765","-72.165617","Nitrogen",91959076.8401091774435,1351072.0537179999999952048641,,0,46.758411321780206810168607697236474119,"DMR Data","DMR Data","Y",""
2020,"CT0003760","110000610651","4911","","PSEG FOSSIL LLC/ POWER CT LLC","NEW HAVEN","CT","06512","NEW HAVEN","09009","01","NON-POTW","NPDES Individual Permit","Major","011000040208",,,"41.283986","-72.904546","Phosphorus",.735673510670988040991009423700596111265,29869.6968519008919999651574049554,,0,.1158421050950000000000000000000000000001,"DMR Data","DMR Data","Y","Y"
2020,"CT0003778","110000316989","4911","","PSEG POWER CONNECTICUT LLC","BRIDGEPORT","CT","06604","FAIRFIELD","09001","01","NON-POTW","NPDES Individual Permit","Major","011000060303",,,"41.17067","-73.18408","Nitrogen",591.39399814425,66323.3449519999999978790024,,0,.5308333333333333333333333333333333333313,"DMR Data","DMR Data","Y","Y"
2020,"CT0003824","110011370729","3731","","ELECTRIC BOAT CORP","GROTON","CT","06340","NEW LONDON","09011","01","NON-POTW","NPDES Individual Permit","Major","011000030203",,,"41.350752","-72.082098","Nitrogen",3613.43424501675,16124.43116800000109983147,,0,4.68083333333333333333333333333333333333,"DMR Data","DMR Data","Y",""
2020,"CT0003824","110011370729","3731","","ELECTRIC BOAT CORP","GROTON","CT","06340","NEW LONDON","09011","01","NON-POTW","NPDES Individual Permit","Major","011000030203",,,"41.350752","-72.082098","Phosphorus",0,16124.43116800000109983147,,0,0,"DMR Data","DMR Data","Y",""
2020,"CT0003875","110002395505","4911","","CRRA MID-CONN FACILITY","HARTFORD","CT","06114","HARTFORD","09003","01","NON-POTW","NPDES Individual Permit","Major","010802050505",,,"41.748663","-72.650764","Nitrogen",69266.2108400325,46941.4858139999999995282093,,0,.2275,"DMR Data","DMR Data","Y",""
2020,"CT0003883","110000316266","4911","","NRG MIDDLETOWN POWER STATION","MIDDLETOWN","CT","06457","MIDDLESEX","09007","01","NON-POTW","NPDES Individual Permit","Major","010802050702",,,"41.554782","-72.58358","Nitrogen",2259.36372436934028703181378153298,47922.075487659999336383225617,,0,.662166666666666666666666666666666666665,"DMR Data","DMR Data","Y",""
2020,"CT0003921","110006873954","9711","","US NAVAL SUBMARINE BASE","GROTON","CT","06340-2464","NEW LONDON","09011","01","FEDERAL","NPDES Individual Permit","Major","011000030203",,,"41.400139","-72.087081","Nitrogen",39.993183829248298000340808537585,1829.6199359999999976295032,,0,.5955,"DMR Data","DMR Data","Y",""
2020,"CT0003921","110006873954","9711","","US NAVAL SUBMARINE BASE","GROTON","CT","06340-2464","NEW LONDON","09011","01","FEDERAL","NPDES Individual Permit","Major","011000030203",,,"41.400139","-72.087081","Phosphorus",1.8971628581612699051418570919365,1829.6199359999999976295032,,0,.06005,"DMR Data","DMR Data","Y",""
2020,"CT0003981","110000315123","1422","","SPECIALTY MINERALS DOLOMITE PLANT","CANAAN","CT","06018","LITCHFIELD COUNTY","09005","01","NON-POTW","NPDES Individual Permit","Non-Major","011000050303",,,"42.026463","-73.31996","Nitrogen",.05802654582899999709867270855,.0026039999999999998698,,0,6.385,"DMR Data","DMR Data","Y",""
2020,"CT0003981","110000315123","1422","","SPECIALTY MINERALS DOLOMITE PLANT","CANAAN","CT","06018","LITCHFIELD COUNTY","09005","01","NON-POTW","NPDES Individual Permit","Non-Major","011000050303",,,"42.026463","-73.31996","Phosphorus",0,.0026039999999999998698,,0,0,"DMR Data","DMR Data","Y",""
2020,"CT0020630","110006780910","8412","","MYSTIC MARINELIFE AQUARIUM","MYSTIC","CT","06355-1997","NEW LONDON","09011","01","NON-POTW","NPDES Individual Permit","Non-Major","011000030303",,,"41.37171","-71.951156","Nitrogen",688.396293378113348361972254307234086717,7.71376539999999961431173,57.36635778150944569683102119226950722643,,13.91877989229242317351316032442720984082,"Modeled","DMR Data","",""
2020,"CT0020630","110006780910","8412","","MYSTIC MARINELIFE AQUARIUM","MYSTIC","CT","06355-1997","NEW LONDON","09011","01","NON-POTW","NPDES Individual Permit","Non-Major","011000030303",,,"41.37171","-71.951156","Phosphorus",46.27447360157965001885109276525978786244,7.71376539999999961431173,3.8562061334649708349042577304383156552,,.97962267787723397899004150183617969687,"Modeled","DMR Data","",""
2020,"CT0020893","110010115008","8211","","MARIANAPOLIS PREP SCHOOL - ST JOHNS","THOMPSON","CT","06277","WINDHAM","09015","01","NON-POTW","NPDES Individual Permit","Non-Major","011000010204",,,"41.958285","-71.877297","Nitrogen",106.835856852820821713678402358958647226,.5205679999999999739716,8.90298807106840180947320019657988726887,,21.84649774690442645677381476588874211067,"Modeled","DMR Data","",""
2020,"CT0020893","110010115008","8211","","MARIANAPOLIS PREP SCHOOL - ST JOHNS","THOMPSON","CT","06277","WINDHAM","09015","01","NON-POTW","NPDES Individual Permit","Non-Major","011000010204",,,"41.958285","-71.877297","Phosphorus",10.728316249193589743593644269451661468,.5205679999999999739716,.8940263540994658119661370224543051223333,,2.14771977058564562312104502090526903797,"Modeled","DMR Data","",""
2020,"CT0024694","110030384377","4952","","EAST HAMPTON WATER POLLUTION CONTROL FACILITY","EAST HAMPTON","CT","06424","MIDDLESEX","09007","01","POTW","NPDES Individual Permit","Major","010802050702",3.9,,"41.564191","-72.546421","Nitrogen",53421.573213225,494.33,4451.79776776875,,13.031,"Modeled","DMR Data","Y",""
