"Nutrient Modeling (Hypoxia Task Force Search)"
"Search Criteria: Year = 2020; EPA Region = 09; Include all nitrogen loads; Include all phosphorus loads"

"Year","NPDES Permit Number","FRS ID","SIC Code","NAICS Code","Facility Name","City","State","ZIP Code","County","FIPS Code","EPA Region","Facility Type Indicator","Permit Type","Major/Non-Major Status","HUC 12 Code","Total Facility Design Flow (MGD)","Actual Average Facility Flow (MGD)","Facility Latitude","Facility Longitude","Nutrient Type","Total Pounds (lb/yr)","Total Annual Flow (MGal/yr)","Max Allowable Load (kg/yr)","Load Over Limit","Avg Concentration","Data Source for Concentration","Data Source for Flow","Discharges to Impaired Water Bodies","Discharges Pollutants Contributing to Water Body Impairment"
2020,"AS0000019","110045691391","2091","","STARKIST SAMOA INC","PAGO PAGO","AS","96799","EASTERN","010","09","NON-POTW","NPDES Individual Permit","Major","220300000001",,2.9,"-14.270919","-170.687692","Nitrogen",525017.9999999999614374279,662.41,45666.66666666666331245,17051.9999999999987475306,95.32415652610346551663598101251532683933,"DMR Data","DMR Data","",""
2020,"AS0000019","110045691391","2091","","STARKIST SAMOA INC","PAGO PAGO","AS","96799","EASTERN","010","09","NON-POTW","NPDES Individual Permit","Major","220300000001",,2.9,"-14.270919","-170.687692","Phosphorus",29559.999999999997828818,662.41,6939.999999999999490257,0,5.30534509670794257398340014003145762827,"DMR Data","DMR Data","",""
2020,"AS0000027","110064600472","2091","","SAMOA TUNA PROCESSORS FACILITY","PAGO PAGO","AS","96799","EASTERN","010","09","NON-POTW","NPDES Individual Permit","Non-Major","",.1,,"-14.280389","-170.668861","Nitrogen",3491.1899999999997435720945,25.541743,24333.33333333333154605,0,14.38214076558289417329449128484987068942,"DMR Data","DMR Data","",""
2020,"AS0000027","110064600472","2091","","SAMOA TUNA PROCESSORS FACILITY","PAGO PAGO","AS","96799","EASTERN","010","09","NON-POTW","NPDES Individual Permit","Non-Major","",.1,,"-14.280389","-170.668861","Phosphorus",649.0499999999999523272775,25.541743,6326.666666666666201973,0,2.72683574426153814255740838492074826079,"DMR Data","DMR Data","",""
2020,"AS0020001","110039976755","4952","","UTULEI WWTF","PAGO PAGO","AS","96799","AMERICAN SAMOA","","09","POTW","NPDES Individual Permit","Major","220300000001",2.2,,"-14.2839","-170.6778","Nitrogen",0,787,14400559.7505,0,0,"DMR Data","DMR Data","",""
2020,"AS0020001","110039976755","4952","","UTULEI WWTF","PAGO PAGO","AS","96799","AMERICAN SAMOA","","09","POTW","NPDES Individual Permit","Major","220300000001",2.2,,"-14.2839","-170.6778","Phosphorus",0,787,2160083.962575,0,0,"DMR Data","DMR Data","",""
2020,"AS0020010","110039976808","4952","","TAFUNA WWTF","PAGO PAGO","AS","96799","AMERICAN SAMOA","","09","POTW","NPDES Individual Permit","Major","220300000001",2,,"-14.340056","-170.722472","Nitrogen",59877.212968125,562.7,4989.76774734375,,12.75,"Modeled","DMR Data","",""
2020,"AS0020010","110039976808","4952","","TAFUNA WWTF","PAGO PAGO","AS","96799","AMERICAN SAMOA","","09","POTW","NPDES Individual Permit","Major","220300000001",2,,"-14.340056","-170.722472","Phosphorus",12205.5589415025,562.7,1017.129911791875,,2.599,"Modeled","DMR Data","",""
2020,"AZ0000116","110006891541","0921","","US FISH & WILDLIFE SERVICE ALCHESAY/WILLIAMS CREEK NATIONAL FISH HATCHERY COMPLE","WHITERIVER","AZ","85941","NAVAJO","04017","09","FEDERAL","NPDES Individual Permit","Non-Major","150601020206",,10.8,"33.934242","-109.92706","Nitrogen",58386.17173725,6447.2,,0,3.83428763440860215053763440860215053764,"DMR Data","DMR Data","",""
2020,"AZ0000116","110006891541","0921","","US FISH & WILDLIFE SERVICE ALCHESAY/WILLIAMS CREEK NATIONAL FISH HATCHERY COMPLE","WHITERIVER","AZ","85941","NAVAJO","04017","09","FEDERAL","NPDES Individual Permit","Non-Major","150601020206",,10.8,"33.934242","-109.92706","Phosphorus",5919.984,6447.2,274.981875,284.004,.3426824863646559510628427113614599737325,"DMR Data","DMR Data","",""
2020,"AZ0000124","110024463953","0921","","WILLIAMS CREEK HATCHERY - US FISH & WILDLIFE SERVICE","WILLIAMS","AZ","86046","COCONINO","04005","09","FEDERAL","NPDES Individual Permit","Non-Major","150100040502",,4.2,"35.264611","-112.172806","Nitrogen",4305.1953357,736.1,,0,2.23252688172043010752688172043010752688,"DMR Data","DMR Data","",""
2020,"AZ0000124","110024463953","0921","","WILLIAMS CREEK HATCHERY - US FISH & WILDLIFE SERVICE","WILLIAMS","AZ","86046","COCONINO","04005","09","FEDERAL","NPDES Individual Permit","Non-Major","150100040502",,4.2,"35.264611","-112.172806","Phosphorus",895.1859,736.1,107.31,0,.4920346490467951352625369810792855095275,"DMR Data","DMR Data","",""
2020,"AZ0020001","110039276404","","","PIMA COUNTY - INA ROAD WWTP","TUCSON","AZ","85743-8618","PIMA","04019","09","POTW","NPDES Individual Permit","Major","150503010908",,,"32.334965","-111.063325","Nitrogen",816374.47743243,10412.81,,0,14.2170120967741935483870967741935483871,"DMR Data","DMR Data","Y","Y"
2020,"AZ0020001","110039276404","","","PIMA COUNTY - INA ROAD WWTP","TUCSON","AZ","85743-8618","PIMA","04019","09","POTW","NPDES Individual Permit","Major","150503010908",,,"32.334965","-111.063325","Phosphorus",290550.22903557,10412.81,,0,10.16611827956989247311827956989247311828,"DMR Data","DMR Data","Y",""
